年,總計,公共危險罪,"印文罪
偽造文書",妨害性自主罪,妨害風化罪,殺人罪,傷害罪,妨害自由罪,強盜海盜罪,搶奪罪,懲治盜匪條例,恐嚇取財得利罪,擄人勒贖罪,"防制條例
毒品危害",竊盜罪,詐欺罪,侵占罪,背信及重利罪,贓物罪,貪污瀆職罪,"械管制條例
槍砲彈藥刀","交易防制條例
兒童及少年性","條例
組織犯罪",舉罷免法  公職人員選,其　他
1998,7508,80,159,312,43,714,66,77,864,232,230,96,118,1732,1409,417,50,53,6,94,331,37,49,65,274
1999,6168,108,182,261,21,599,55,47,672,212,270,122,67,914,1513,288,30,48,6,87,270,34,67,0,295
2000,5701,95,191,211,33,598,79,37,700,235,118,139,68,640,1373,275,36,37,10,91,299,14,52,9,361
2001,5368,103,171,201,27,527,43,45,712,265,111,138,76,559,1322,221,24,17,14,100,255,20,33,56,328
2002,5339,77,94,198,27,463,45,35,863,422,21,127,77,600,1199,217,16,16,2,78,282,38,69,129,244
2003,5069,68,120,211,35,369,27,28,784,329,1,105,60,738,1038,217,10,21,3,73,365,18,95,2,352
2004,6507,55,112,152,31,426,43,37,849,385,14,124,114,1362,1341,284,6,20,7,84,498,16,118,41,388
2005,9296,115,152,249,33,560,73,37,1036,446,0,134,166,1825,2074,517,24,43,7,223,576,11,165,290,540
2006,10238,98,259,309,54,609,113,113,1124,392,0,155,149,1859,2511,589,34,75,6,305,546,17,232,131,558
2007,11608,114,179,303,100,525,104,132,999,380,0,159,94,2450,3334,901,28,64,7,298,558,38,316,31,494
2008,9980,62,148,271,48,474,77,73,864,332,0,153,72,2103,3017,850,21,33,8,243,317,24,257,96,437
2009,8789,83,127,224,45,503,60,44,706,318,0,114,47,2373,1874,985,18,34,2,143,307,14,191,211,366
2010,9151,65,52,202,37,388,63,62,524,224,0,120,43,2775,1985,1115,21,30,4,139,256,18,261,355,412
2011,8715,65,63,278,16,394,55,63,452,186,0,120,43,2598,1798,1240,22,27,3,208,297,17,297,13,460
2012,7899,74,41,258,9,480,67,39,356,180,0,101,25,2218,1498,1370,16,12,9,164,204,23,239,27,489
2013,6637,93,34,180,10,348,68,39,259,155,0,70,33,1997,1141,990,19,14,3,214,195,9,207,3,556
2014,6030,96,21,171,11,345,73,25,276,96,0,66,21,1627,1012,977,13,8,0,79,173,15,185,324,416
2015,5864,84,53,139,5,369,76,36,227,110,0,67,16,1608,1011,1014,14,4,1,120,177,7,162,20,544
